himavant;t,f:;|;|;|;|;|;|;|;|
himavant;t,n:;|;|;|;|;|;|;|;|
satimant;t,m:anto;,|aṃ;,|;|assa;,|;|assa;,|;|;|
satimant;t,f:;|;|;|;|;|;|;|;|
satimant;t,n:;|;|;|;|;|;|;|;|
candimā;a,m:ā;anto,antā|antaṃ;ante|atā,antena;antehi,antebhi|ato,antassa;ataṃ,antānaṃ|atā,antā,antamhā,antasmā;antehi,antebhi|ato,antassa;ataṃ,antānaṃ|ati,ante,antamhi,antasmiṃ;antesu|aṃ,a,ā;anto,antā|
gacchanta;a,m:-3aṃ,-3anto;-3anto,-3antā|-3antaṃ;-3ante,-3anto|-3antena,-3atā;-3antehi,-3antebhi|-3antassa,-3ato;-3antānaṃ,-3ataṃ|-3antasmā,-3antamhā,-3antā,-3atā;-3antehi,-3antebhi|-3antassa,-3ato;-3antānaṃ,-3ataṃ|-3antasmiṃ,-3antamhi,-3ante,-3ati;-3antesu|-3aṃ,-3a,-3ā;-3anto,-3antā|
gacchanta;a,n:-3aṃ,-3antaṃ;-3antā,-3antāni|-3antaṃ;-3ante,-3antāni|-3antena,-3atā;-3antehi,-3antebhi|-3antassa,-3ato;-3antānaṃ,-3ataṃ|-3antasmā,-3antamhā,-3antā,-3atā;-3antehi,-3antebhi|-3antassa,-3ato;-3antānaṃ,-3ataṃ|-3antasmiṃ,-3antamhi,-3ante,-3ati;-3antesu|-3anta;-3antā,-3antāni|
bhavanta;a,m:-3aṃ;-3anto,-3antā,-5onto|-3antaṃ;-3ante,-5onte|-3antena,-3atā,-5otā;-3antehi,-3antebhi|-3antassa,-3ato,-5oto;-3ataṃ,-3antānaṃ|-3antasmā,-3antamhā,-3antā,-3atā,-5otā;-3antehi,-3antebhi|-3antassa,-3ato,-5oto;-3ataṃ,-3antānaṃ|-3antasmiṃ,-3antamhi,-3ante,-3ati;-3antesu|-5o,-4nte,-5onta,-5ontā;-3anto,-3antā,-5onto|
karonta;a,m:-3aṃ;o,ā|aṃ;e|ena,-2tā;ehi,ebhi|assa,-2to;ānaṃ,-2taṃ|asmā,amhā,ā,-2tā;ehi,ebhi|assa,-2to;ānaṃ,-2taṃ|asmiṃ,amhi,e;esu|a;ā|
arahanta;a,m:-3aṃ;o|aṃ;e|ena,-2tā;ehi,ebhi|assa,-2to;ānaṃ,-2taṃ|asmā,amhā,ā,-2tā;ehi,ebhi|assa,-2to;ānaṃ,-2taṃ|asmiṃ,amhi,e;esu|a;o|
santa;a,m:o,-2ṃ;o,ā|aṃ,-2ṃ;e|ena,-2tā;ehi,-2bbhi|assa,-2to;ānaṃ,-2taṃ|asmā,amhā,ā,-2tā;ehi,-2bbhi|assa,-2to;ānaṃ,-2taṃ|asmiṃ,amhi,e,-2ti;esu|-2ṃ,-2,-3ā,a;o,ā|
mahanta;a,m:-3aṃ,-3ā,-3anto;-3antā|-3antaṃ;-3ante|-3antena,-3atā;-3antehi,-3antebhi|-3antassa,-3ato;-3antānaṃ,-3ataṃ|-3antasmā,-3antamhā,-3antā,-3atā;-3antehi,-3antebhi|-3antassa,-3ato;-3antānaṃ,-3ataṃ|-3antasmiṃ,-3antamhi,-3ante,-3ati;-3antesu|-3a,-3ā;-3anto|
rāja;a,m:ā;āno|aṃ,ānaṃ;āno|ena,-2aññā;ūhi,ūbhi,ehi,ebhi|ino,-2añño,-2aññassa;ānaṃ,ūnaṃ,-2aññaṃ|-2aññā;ūhi,ūbhi,ehi,ebhi|ino,-2añño,-2aññassa;ānaṃ,ūnaṃ,-2aññaṃ|ini,-2aññe;ūsu,esu|a,ā;āno|
brahma;a,m:ā;āno|aṃ,ānaṃ;āno|unā;ehi,ebhi|assa,uno;ānaṃ,ūnaṃ|unā;ehi,ebhi|assa,uno;ānaṃ,ūnaṃ|ani;esu|e;āno|
sakha;a,m:ā;ā,āyo,āno,āro|aṃ,ānaṃ,āraṃ;e,āyo,āno,āre,ino|inā;ehi,ebhi,ārehi,ārebhi|issa,ino;īnaṃ,ānaṃ,ārānaṃ|inā,ārasmā,ismā,asmā,ā,ārā;ehi,ebhi,ārehi,ārebhi|issa,ino;īnaṃ,ānaṃ,ārānaṃ|e;esu,āresu|a,ā,i,ī,e;ā,ān,āyo,āno,āro,ino|
atta;a,m:ā;ā,āno|aṃ,ānaṃ;āno|ena,anā;ehi,ebhi,anehi,anebhi|assa,ano;ānaṃ|anā;ehi,ebhi,anehi,anebhi|assa,ano;ānaṃ|ani;esu|a,ā;āno|
ātuma;a,m:ā;ā,āno|aṃ,ānaṃ;āno|ena;ehi,ebhi|assa,āya,atthaṃ;ānaṃ|asmā,ā;ehi,ebhi|assa;ānaṃ|asmiṃ,e;esu|a,ā;āno|
yuva;a,m:ā,āno;ā,āno,ānā|aṃ,ānaṃ;e,āne|ena,ānena,ānā;ehi,ebhi,ānehi,ānebhi|assa,ānassa,ino;anaṃ,ānānaṃ|ānasmā,ānā;ehi,ebhi,ānehi,ānebhi|assa,ānassa,ino;anaṃ,ānānaṃ|asmiṃ,ānasmiṃ,e,āne;esu,āsu,ānesu|a,āna;āno,ānā|
sā;a,m:ā;ā|aṃ;e|ena;āhi,ābhi|assa,āya;ānaṃ|asmā,amhā,ā;āhi,ābhi|assa;ānaṃ|asmiṃ,amhi,e;āsu|a,ā;ā|
aggi;i,m:ini;,|;|;|;|;|;|;|;|
hetu;u,m:,;uyo|,;uyo|;|;|;|;|;|;|
jantu;u,m:,;uno,uyo|,;uno,uyo|;|;|;|;|;|;|
satthu;u,m:ā;āro|āraṃ;āre,āro|ārā,unā;ārehi,ārebhi|ussa,uno,u;ānaṃ,ārānaṃ|ārā;ārehi,ārebhi|ussa,uno,u;ānaṃ,ārānaṃ|ari;āresu|a,ā;āro|
kattu;u,m:ā;āro|āraṃ;āre,āro|ārā,unā;ārehi,ārebhi|ussa,uno,u;ānaṃ,ārānaṃ,ūnaṃ,unaṃ|ārā,unā;ārehi,ārebhi|ussa,uno,u;ānaṃ,ārānaṃ,ūnaṃ,unaṃ|ari;āresu,ūsu,usu|a,ā,e;āro|
pitu;u,m:ā;aro|araṃ;are,aro|arā,unā;arehi,arebhi,ūhi,ūbhi,uhi,ubhi|ussa,uno,u;arānaṃ,ānaṃ,ūnaṃ,unaṃ|arā;arehi,arebhi,ūhi,ūbhi,uhi,ubhi|ussa,uno,u;arānaṃ,ānaṃ,ūnaṃ,unaṃ|ari;aresu,ūsu,usu|a,ā;aro|
abhibhū;ū,m:ū;ū,uvo|uṃ;ū,uvo|unā;ūhi,ūbhi|ussa,uno;ūnaṃ|usmā,umhā,unā;ūhi,ūbhi|ussa,uno;ūnaṃ|usmiṃ,umhi;ūsu|u;ū,uvo|
abhibhū;u,n:u;ū,ūni|uṃ;ū,ūni|unā;ūhi,ūbhi|ussa,uno;ūnaṃ|usmā,umhā,unā;ūhi,ūbhi|ussa,uno;ūnaṃ|usmiṃ,umhi;ūsu|u;ū,ūni|
go;a,m:o;āvo,avo|āvuṃ,āvaṃ,avaṃ;āvo,avo|āvena,avena;ohi,obhi|āvassa,avassa;avaṃ,unnaṃ,onaṃ|āvasmā,āvamha,avasmā,avamha,āvā,avā;ohi,obhi|āvassa,avassa;avaṃ,unnaṃ,onaṃ|āvasmiṃ,āvamhi,avasmiṃ,avamhi,āve,ave;āvesu,avesu,osu|o;āvo,avo|
addhā;a,m:ā;ā,āno|ānaṃ;āne|unā;ānehi,ānebhi|uno;ānaṃ|unā;ānehi,ānebhi|uno;ānaṃ|ani,āne;ānesu|a;ā,āno|
muddhā;a,m:ā;ā,āno|aṃ;e,āne|ānā;ehi,ebhi|assa;ānaṃ|ānā;ehi,ebhi|assa;ānaṃ|ani;anesu|a;ā,āno|
ratti;i,f:,;-1yo|;|;|;|-1yā;,|;|-1yā,-1yaṃ,iṃ,o;,|;|
bhikkhuṇī;ī,f:ī;ī,iyo|iṃ;ī,iyo|iyā;īhi,ībhi|iyā;īnaṃ|iyā;īhi,ībhi|iyā;īnaṃ|iyā,iyaṃ;īsu|i;ī,iyo|
mātu;u,f:ā;aro|araṃ;are,aro|arā,uyā;arehi,arebhi,ūhi,ūbhi,uhi,ubhi|ussa,uyā,u;arānaṃ,ānaṃ,ūnaṃ,unaṃ|arā,uyā;arehi,arebhi,ūhi,ūbhi,uhi,ubhi|ussa,uyā,u;arānaṃ,ānaṃ,ūnaṃ,unaṃ|ari,uyaṃ;aresu,ūsu,usu|a,ā;aro|
kamma;a,n:aṃ;ā,āni|aṃ;e,āni|ena,unā,anā;ehi,ebhi|assa,uno;ānaṃ|asmā,amhā,unā,ā;ehi,ebhi|assa,uno;ānaṃ|asmiṃ,amhi,ani,e;esu|a;ā,āni|
kārī;i,n:i;ī,īni|iṃ,inaṃ;ī,īni|inā;īhi,ībhi|issa,ino;īnaṃ|ismā,imhā,inā;īhi,ībhi|issa,ino;īnaṃ,inaṃ|ismiṃ,imhi,ini;īsu|i;ī,īni|
tumha;a,m:-3vaṃ,-3uvaṃ;e,-4vo|-3vaṃ,-3uvaṃ,-3avaṃ,-3aṃ;ākaṃ,e,-4vo|-3ayā,-3vayā,-3e;ehi,ebhi,-4vo|-2yhaṃ,aṃ,-3ava,-3e;aṃ,ākaṃ,-4vo|-3ayā;ehi,ebhi|-2yhaṃ,aṃ,-3ava,-3e;aṃ,ākaṃ,-4vo|-3ayi,-3vayi;esu|;|
tumha;ā,f:-3vaṃ,-3uvaṃ;e,-4vo|-3vaṃ,-3uvaṃ,-3avaṃ,-3aṃ;ākaṃ,e,-4vo|-3ayā,-3vayā,-3e;ehi,ebhi,-4vo|-2yhaṃ,aṃ,-3ava,-3e;aṃ,ākaṃ,-4vo|-3ayā;ehi,ebhi|-2yhaṃ,aṃ,-3ava,-3e;aṃ,ākaṃ,-4vo|-3ayi,-3vayi;esu|;|
tumha;a,n:-3vaṃ,-3uvaṃ;e,-4vo|-3vaṃ,-3uvaṃ,-3avaṃ,-3aṃ;ākaṃ,e,-4vo|-3ayā,-3vayā,-3e;ehi,ebhi,-4vo|-2yhaṃ,aṃ,-3ava,-3e;aṃ,ākaṃ,-4vo|-3ayā;ehi,ebhi|-2yhaṃ,aṃ,-3ava,-3e;aṃ,ākaṃ,-4vo|-3ayi,-3vayi;esu|;|
amha;a,m:-2haṃ;-3mayaṃ,e,-3no|-3maṃ,-3mamaṃ;ākaṃ,e,-3no|-3mayā,-3me;ehi,ebhi,-3no|-3mayhaṃ,aṃ,-3mama,-3mamaṃ,-3me;aṃ,ākaṃ,-2smākaṃ,-3no|-3mayā;ehi,ebhi|-3mayhaṃ,aṃ,-3mama,-3mamaṃ,-3me;aṃ,ākaṃ,-2smākaṃ,-3no|-3mayi;esu|;|
amha;ā,f:-2haṃ;-3mayaṃ,e,-3no|-3maṃ,-3mamaṃ;ākaṃ,e,-3no|-3mayā,-3me;ehi,ebhi,-3no|-3mayhaṃ,aṃ,-3mama,-3mamaṃ,-3me;aṃ,ākaṃ,-2smākaṃ,-3no|-3mayā;ehi,ebhi|-3mayhaṃ,aṃ,-3mama,-3mamaṃ,-3me;aṃ,ākaṃ,-2smākaṃ,-3no|-3mayi;esu|;|
amha;a,n:-2haṃ;-3mayaṃ,e,-3no|-3maṃ,-3mamaṃ;ākaṃ,e,-3no|-3mayā,-3me;ehi,ebhi,-3no|-3mayhaṃ,aṃ,-3mama,-3mamaṃ,-3me;aṃ,ākaṃ,-2smākaṃ,-3no|-3mayā;ehi,ebhi|-3mayhaṃ,aṃ,-3mama,-3mamaṃ,-3me;aṃ,ākaṃ,-2smākaṃ,-3no|-3mayi;esu|;|
sabba;a,m:o;e|aṃ;e|ena;ehi,ebhi|assa;esaṃ,esānaṃ|asmā,amhā;ehi,ebhi|assa;esaṃ,esānaṃ|asmiṃ,amhi;esu|a,ā;e|
sabba;ā,f:ā;ā,āyo|aṃ;ā,āyo|āya;āhi,ābhi|assā,āya;āsaṃ,āsānaṃ|āya;āhi,ābhi|assā,āya;āsaṃ,āsānaṃ|assaṃ,āyaṃ;āsu|e;ā,āyo|
sabba;a,n:aṃ;āni|aṃ;āni|ena;ehi,ebhi|assa;esaṃ,esānaṃ|asmā,amhā;ehi,ebhi|assa;esaṃ,esānaṃ|asmiṃ,amhi;esu|a;āni|
pubba;a,m:o;e,ā|aṃ;e|ena;ehi,ebhi|assa;esaṃ,esānaṃ|asmā,amhā,ā;ehi,ebhi|assa;esaṃ,esānaṃ|asmiṃ,amhi,e;esu|a;e,ā|
pubba;ā,f:ā;ā,āyo|aṃ;ā,āyo|āya;āhi,ābhi|assā,āya;āsaṃ,āsānaṃ|āya;āhi,ābhi|assā,āya;āsaṃ,āsānaṃ|assaṃ,āyaṃ;āsu|e;ā,āyo|
pubba;a,n:aṃ;āni|aṃ;āni|ena;ehi,ebhi|assa;esaṃ,esānaṃ|asmā,amhā,ā;ehi,ebhi|assa;esaṃ,esānaṃ|asmiṃ,amhi,e;esu|a;āni|
ya;a,m:o;e|aṃ;e|ena;ehi,ebhi|assa;esaṃ,esānaṃ|asmā,amhā;ehi,ebhi|assa;esaṃ,esānaṃ|asmiṃ,amhi;esu|;|
ya;ā,f:ā;ā,āyo|aṃ;ā,āyo|āya;āhi,ābhi|assā,āya;āsaṃ,āsānaṃ|āya;āhi,ābhi|assā,āya;āsaṃ,āsānaṃ|assaṃ,āyaṃ;āsu|;|
ya;a,n:aṃ;āni|aṃ;āni|ena;ehi,ebhi|assa;esaṃ,esānaṃ|asmā,amhā;ehi,ebhi|assa;esaṃ,esānaṃ|asmiṃ,amhi;esu|;|
ta;a,m:-1so;e,-1ne|aṃ,-1naṃ;e,-1ne|ena,-1nena;ehi,ebhi,-1nehi,-1nebhi|assa,-1assa,-1nassa;esaṃ,esānaṃ,-1nesaṃ,-1nesānaṃ|asmā,amhā,-1asmā,-1nasmā,-1namhā;ehi,ebhi,-1nehi,-1nebhi|assa,-1assa,-1nassa;esaṃ,esānaṃ,-1nesaṃ,-1nesānaṃ|asmiṃ,amhi,-1asmiṃ,-1nasmiṃ,-1namhi;esu,-1nesu|;|
ta;ā,f:-1sā;ā,āyo,-1nā,-1nāyo|aṃ,-1naṃ;ā,āyo,-1nā,-1nāyo|āya,-1nāya;āhi,ābhi,-1nāhi,-1nābhi|assā,issā,assāya,issāya,-1assā,-1nassā,-1assāya,-1nassāya,āya,-1nāya;āsaṃ,āsānaṃ,-1nāsaṃ,-1nāsānaṃ|āya,-1nāya;āhi,ābhi,-1nāhi,-1nābhi|assā,issā,assāya,issāya,-1assā,-1nassā,-1assāya,-1nassāya,āya,-1nāya;āsaṃ,āsānaṃ,-1nāsaṃ,-1nāsānaṃ|assaṃ,issaṃ,-1assaṃ,-1nassaṃ,āya,-1nāya;āsu,-1nāsu|;|
ta;a,n:aṃ,-1naṃ;āni,-1nāni|aṃ,-1naṃ;āni,-1nāni|ena,-1nena;ehi,ebhi,-1nehi,-1nebhi|assa,-1assa,-1nassa;esaṃ,esānaṃ,-1nesaṃ,-1nesānaṃ|asmā,amhā,-1asmā,-1nasmā,-1namhā;ehi,ebhi,-1nehi,-1nebhi,|assa,-1assa,-1nassa;esaṃ,esānaṃ,-1nesaṃ,-1nesānaṃ|asmiṃ,amhi,-1asmiṃ,-1nasmiṃ,-1namhi;esu,-1nesu|;|
