tumha:tumha:you
amha:amha:I
sabba:sabba:all
katara:sabba:which
katama:sabba:which
ubhaya:sabba:both
itara:sabba:other
añña:sabba:other
aññatara:sabba:some
aññatama:sabba:some
pubba:pubba:former
para:pubba:other/another
apara:pubba:other/another
dakkhiṇa:pubba:southern/right
uttara:pubba:northern/upper
adhara:pubba:beneath/lower
ya:ya:whatever/which
ta:ta:that/he/she/it
eta:eta:that/this
ima:ima:this
asuka:asuka:that/such
amu:amu:that/such
kiṃ:kiṃ:who/what/which
kiṃci:kiṃci:whoever/any
