1468:saka 1:IV:sakkuṇā.dadā|sakkuṇā.dadā|sakkuṇ.0|,|,|asakkh.asakkh|sakkuṇ.0|,:sakk;sakkā:-;-;-;-;sakit;sakkuṇitvā
208:kī:V:kīṇā.dadā|kīṇā.dadā|kīṇ.0|,|,|kīṇ.0,akīṇ.0|kīṇ.0|kīṇ.0,akīṇ.0:kīy;kāy:-;-;-;-;kīt;-
208:vi+kī:V:vikkiṇā.dadā|vikkiṇā.dadā|vikkiṇ.0|,|,|vikkiṇ.0,avikkiṇ.0|vikkiṇ.0|vikkiṇ.0,avikkiṇ.0:-;-:-;-;-;-;-;-
520:ji:I:jay.0|jay.0|jay.0|,|,|jay.0,ajay.0|jay.0|jay.0,ajay.0:-;-:-;-;-;-;-;-
522:ji:V:jinā.dadā|jinā.dadā|jin.0|,|,|jin.0,ajin.0|jin.0|jin.0.ajin.0:jīy;jayā:-;-;jeyy;jini,je;jit;jitvā,jinitvā,jetvā
439:ci:V:cinā.dadā|cinā.dadā|cin.0|,|,|cin.0,acin.0|cin.0|cin.0,acin.0:-;-:-;-;ceyy;ce;cit;-
554:ñā:V:jānā.dadā,ñā.ñā|jānā.dadā|jān.jān|,|,|jān.0,ajān.0.ajān|jān.0|jān.0,ajān.0:ñāy;ñā,jānā:-;-;jānanīy,ñeyy;jānit,ñāt;ñā;jānitvā,jāyitvā,jāniya
554:vi+ñā:V:vijānā.dadā|vijānā.dadā|vijān.jān|,|,|vijān.0|vijān.0|,:-;-:-;-;vijānanīy;-;viññāt;viññāya
355:gaha:VI:gaṇhā.suṇā|gaṇhā.suṇā|gaṇh.0|,|,|aggaṇh.0,aggahes.assos|gaṇh.0|aggaṇh.0:gayh,gahiy;gāh,gaṇh:-;-;gahaṇīy,gahanīy,gayh;gaṇhit;gahit;gahetvā,gāhetvā
175:kara:VII:karo.karo|karo.karo|kar.0.kar,kayir.kayir|,|akar.akar|akar.akar|kar.0,kāh.kāh|akar.0:kariy,kayir;kār:-;kuru;karaṇīy,kāriy;katt,kāt;kat;katvā
1469:saka 2:VII:sakko.ho|sakko.ho|sakkuṇ.0|,|,|asakkh.0|sakkh.0|asakkh.0:sakk;sakkā:-;-;-;-;sakit;-
37:pa+appa:VII:pappo.ho|pappo.ho|,|,|,|,|,|,:-;-:-;-;-;-;-;-
448:cinta:VIII:cinte.0,cintay.0|cinte.0,cintay.0|cintay.0|,|,|cintes.assos,cintay.0|cinte.ende,cintay.0|cintay.0,acintay.0:cintiy;cintā:-;-;-;-;cintit;cintiya
1348:vaca:I:vac.0|vac.0|vac.0|,|vac.0,avac.0.avac|vac.0,avac.0.avac|vac.0|vac.0,avac.0:vucc;vāc:-;-;vacanīy;-;vutt;-
1375:vada:I:vad.0,vade.0,vajj.0|vad.0,vade.0|vad.0|,|,|vad.0,avad.0|vad.0|vad.0,avad.0:vadiy;vād:-;-;-;vadit;-;-
1288:labha:I:labh.0|labh.0|labh.0|,|labh.0,alabh.0|labh.0,alabh.0.alabh|labh.0,lacch.lacch|labh.0,alabh.0:labbh;lābh:-;-;labhanīy,labbh;labhit,laddh;laddh;labhitvā,labbha
1091:mara:I:mar.0|mar.0|mar.0|,|,|mar.0,amar.0|mar.0|mar.0,amar.0:-;mār:-;-;-;māret;mat;maritvā
1405:vasa:I:vas.0|vas.0|vas.0|,|vas.0,avas.0|vas.0,avas.0|vas.0,vacch.lacch|vas.0,avas.0:vuss;vās:-;-;-;-;-;-
68:ikkha:I:ikkh.0|ikkh.0|ikkh.0|,|,|ikkh.0|ikkh.0|ikkh.0:ikkhiy;ikkh:-;-;-;-;ikkhit;-
727:disa:I:pass.0|pass.0|pass.0|,|addas.0|addas.0.addas|pass.0,dakkh.lacch|pass.0,apass.0:diss,dakkhiy;passā,dakkhā,dass:-;-;-;daṭṭh;diṭṭh,dissit;diṭṭhā
1304:lipa:II:limp.0|limp.0|limp.0|,|,|limp.0,alimp.0|limp.0|limp.0,alimp.0:lipp;lep:-;-;-;-;litt;limpitvā
1133:muca:II:muñc.0|muñc.0|muñc.0|,|,|muñc.0,amuñc.0|muñc.0|muñc.0,amuñc.0:mucc;moc:-;-;-;-;mutt;muñcitvā,mocetvā
488:chidi:II:chind.0|chind.0|chind.0|,|,|chind.0.achind.0|chind.0|chind.0,achind.0:chijj;ched:-;-;-;chindit;chinn;chijjitvā,chintitvā,chintiya,chijja
723:divu:III:dibb.0|dibb.0|dibb.0|,|,|dibb.0,adibb.0|dibb.0|dibb.0,adibb.0:dibb;dev:-;-;-;-;-;-
1596:sivu:VIII:sibb.0|sibb.0|sibb.0|,|,|sibb.0,asibb.0|sibb.0|sibb.0,asibb.0:sibb;sibbā:-;-;-;-;-;-
1154:muha:III:muyh.0|muyh.0|muyh.0|,|,|muyh.0,amuyh.0|muyh.0|muyh.0,amuyh.0:-;moh:-;-;-;-;mūḷh;muyhitvā
1134:muca:III:mucc.0|mucc.0|mucc.0|,|,|mucc.0,amucc.0|mucc.0|mucc.0,amucc.0:mucc;moc:-;-;-;-;mutt;-
1039:bhidi:III:bhijj.0|bhijj.0|bhijj.0|,|,|bhijj.0,abhijj.0|bhijj.0|bhijj.0,abhijj.0:bhijj;bhed:-;-;bhijj;-;bhinn,bhedit;bhijjitvā,bhinditvā
588:tanu:VII:tano.ho|tano.ho|tan.0|,|,|tan.0,atan.0|tan.0|tan.0,atan.0:pataññ,patāy;vitān:-;-;-;-;tat;-
519:jāgara:VII:jāgar.0|jāgar.0|jāgar.0|,|,|jāgar.0,ajāgar.0|jāgar.0|jāgar.0,ajāgar.0:-;-:-;-;-;-;-;-
472:cura:VIII:core.0,coray.0|core.0,coray.0|cor.0|,|,|cores.assos,acoray.0|core.ende,coray.0|coray.0,acoray.0:curiy,coriy;cor:-;-;-;-;-;-
572:takka:VIII:takke.0,takkay.0|takke.0,takkay.0|takk.0|,|,|takkes.assos,atakkay.0|take.ende,takkay.0|takkay.0,atakkay.0:takkiy;takkā:-;-;-;takkayit;takkit;takketvā
1269:lakkha:VIII:lakkhe.0,lakkhay.0|lakkhe.0,lakkhay.0|lakkh.0|,|,|lakkes.assos,alakkh.0|lakkhe.ende,lakkhay.0|lakkhay.0,alakkhay.0:lakkhiy;lakkhā:-;-;lakkhanīy;-;lakkhit;lakkhetvā,lakkhayitvā
1086:manta:VIII:mante.0,mantay.0|mante.0,mantay.0|mant.0|,|,|mantes.assos,amantay.0|mante.ende,mantay.0|mantay.0,amantay.0:mantiy;mantā:-;-;-;-;mantit;mantvā,mantettvā,mantayitvā
154:katha:VIII:kathe.0,kathay.0|kathe.0,kathay.0|kath.0|,|,|kathes.assos,akathay.0|kathe.ende,kathay.0|kathay.0,akathay.0:kathiy;kathā:-;-;-;kathet;kathit;kathetvā
731:disī 1:VIII:dese.0,desay.0|dese.0,desay.0|des.0|,|,|deses.assos,adesay.0|dese.ende,desay.0|desay.0,adesay.0:desiy;-:-;-;-;-;desi;-
731:disī 2:VIII:dasse.0,dassay.0|dasse.0,dassay.0|dass.0|,|,|dasses.assos,adassay.0|dasse.ende,dassay.0|dassay.0,adassay.0:-;-:-;-;-;-;dassit;dassetvā
