akar;hiyp:ā,-2ā;ū|o;-1ttha,ottha,attha|aṃ,-1ṃ;amha,-1mha
akar;hiya:-1ttha;-1tthuṃ|-2uruse;-2uruvhaṃ|iṃ;amhase
akar;ajjp:i,-2āsi;uṃ,iṃsu,-2āsuṃ,-1ṃsu|i,-2āsi;ittha,-2āsittha|iṃ,-2āsiṃ;imha,-2āsimha,-2āsimhā
kāh;bhap:ati,iti;anti,inti|asi,isi;atha,itha|āmi,imi;āma,ima
cint;ajjp:esi,ayi;esuṃ,ayiṃsu|esi,ayi;esittha,ayittha|esiṃ,ayiṃ;esimha,esimhā,ayimha,ayimhā
avac;hiyp:-2oca;,|-2voca;,|;
avac;ajjp:,;-2ocuṃ|,;uttha,-2ocuttha|,;-2ocumhā
alabh;ajjp:-2ttha;,|-2ttha;,|-2tthaṃ;,
lacch;bhap:ati;anti|asi;atha|āmi;āma
addas;ajjp:,;aṃsu|;|,;āma
aṭṭh;ajjp:āsi;aṃsu|āsi;āsittha|āsiṃ;āsimhā
assos;ajjp:i;uṃ|i;ittha|iṃ;imhā
ñā;vatp:yati,-2nāyati;-2nāyare|;|;
ende;bhap:essati;essanti|essasi;essatha|essāmi;essāma
ende;bhaa:issate;issante,issare|issase;issavhe|issaṃ;issāmhe
